Col 1,UID,Name,Rec,DOB,Inf,Club,Based,Nat,Height,Weight,Age,Position,Transfer Value,Media Description,Rc Injury,Preferred Foot,Left Foot,Right Foot,Caps,AT Apps,AT Gls,AT Lge Apps,AT Lge Gls,Team,Yth Apps,Yth Gls,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat.1,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Vers,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Amb,Ada,Cons,Cont,Media Handling
537,2002077844,Scott Wells,- - -,4/5/2006 (16 years old),Ama,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'7""",58 kg,16,ST (C),0$,Young striker,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,13,5,5,1,13,6,3,3,8,3,2,1,4,7,5,10,2,9,13,3,1,5,3,3,4,5,2,3,14,14,14,3,8,5,7,4,2,5,7,2,2,9,12,7,12,11,3,10,10,14,11,7,10,19,10,11,3,15,5,6,Media-friendly
538,2002077843,Netanel Ofir,- - -,9/3/2005 (17 years old),Ama,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"6'0""",69 kg,17,"AM (C), ST (C)",0$,Young striker,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,12,7,8,3,10,7,2,4,7,1,2,2,5,10,10,11,3,8,15,4,3,8,9,1,7,6,3,6,9,13,15,1,8,13,9,6,5,7,11,1,1,8,7,8,10,11,1,8,9,11,15,3,3,2,6,8,16,14,9,16,Outspoken
539,2002077842,Chris Lewis,- - -,5/12/2005 (16 years old),Ama,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'11""",69 kg,16,M (C),0$,Hard working midfielder,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,6,15,9,1,11,17,8,7,10,2,1,2,8,4,15,7,1,6,14,7,7,5,13,4,9,5,3,12,5,11,4,2,6,10,8,3,8,7,6,3,3,4,5,7,8,10,1,13,15,13,12,12,12,3,12,10,8,5,14,7,Level-headed
540,2002077841,Craig Solís,- - -,9/10/2006 (15 years old),Ama,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'7""",58 kg,15,"AM (C), ST (C)",0$,Promising attacking midfielder,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,9,10,11,2,15,10,6,6,8,1,1,2,6,7,14,10,2,11,4,6,4,7,13,2,7,15,3,6,14,10,9,2,8,17,12,5,4,6,11,1,1,5,5,8,10,6,1,12,18,4,12,17,7,13,17,8,12,20,8,2,"Unflappable, Media-friendly"
541,2002077840,Samvel Petrosyan,- - -,17/6/2006 (16 years old),Ctr,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'5""",57 kg,16,AM (C),0$,Young attacking midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,7,10,15,1,16,12,7,7,8,1,3,2,7,7,13,8,2,10,13,4,4,9,3,1,5,11,1,13,14,12,8,3,10,16,10,5,8,8,10,2,3,13,8,8,8,14,3,13,15,16,15,15,17,8,14,13,18,12,8,9,"Evasive, Unflappable"
542,2002077839,Chris Glazer,- - -,9/3/2005 (17 years old),Ctr,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'9""",64 kg,17,AM (R),0$,Young winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,10,9,10,2,15,10,7,7,8,1,3,1,7,4,11,15,1,11,13,6,3,7,1,3,7,4,4,7,12,10,11,2,8,1,8,8,5,7,7,1,1,10,8,9,15,7,4,12,17,16,10,15,11,13,18,9,5,8,8,13,Unflappable
543,2002077838,Joe Wheeler,- - -,13/6/2005 (17 years old),Ama,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'6""",58 kg,17,WB/AM (R),0$,Young winger,-,Left Only,Very Strong,Weak,0,-,-,-,-,,-,-,14,9,6,1,9,5,4,3,4,1,1,2,4,3,7,14,1,6,10,3,4,5,14,2,3,3,1,5,9,10,4,3,6,3,6,7,4,4,4,3,1,7,12,5,11,11,3,8,13,16,13,13,14,7,12,14,4,14,8,4,Level-headed
544,2002077837,Christian Toledo,- - -,23/5/2006 (16 years old),Ctr,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'3""",55 kg,16,AM (LC),0$,Diminutive winger,-,Left,Very Strong,Weak,0,-,-,-,-,,-,-,14,7,6,3,7,6,5,5,8,2,2,3,2,5,12,14,2,9,16,3,5,5,11,1,1,4,3,8,7,7,9,2,12,5,6,8,6,6,7,3,3,1,6,7,14,8,2,9,11,14,13,7,12,10,7,6,5,13,9,6,Level-headed
545,2002077836,Ryan Biasi,- - -,17/11/2006 (15 years old),Ctr,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'9""",59 kg,15,M/AM (L),0$,Young winger,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,13,14,5,2,13,10,7,5,9,1,1,2,5,8,8,10,2,7,13,8,5,7,10,2,8,3,1,4,12,9,10,3,6,13,7,7,5,7,8,2,1,4,6,8,10,13,1,7,11,12,11,14,15,5,12,10,3,15,14,6,Level-headed
546,2002077835,Scott Cain,- - -,16/9/2006 (15 years old),Ctr,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'11""",67 kg,15,D (C),0$,Enthusiastic center back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,8,16,6,2,7,19,8,10,11,3,3,1,10,6,8,10,1,8,13,9,5,9,3,1,14,11,2,4,8,6,5,2,7,16,8,7,8,10,10,3,2,17,14,9,9,11,1,12,14,16,11,17,16,3,16,7,3,14,16,2,Level-headed
547,2002077834,Marshall Nolan,- - -,15/10/2005 (16 years old),Ctr,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'9""",63 kg,16,D (C),0$,Young center back,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,9,6,8,2,10,9,12,6,7,1,1,1,11,6,15,10,4,7,13,7,4,5,9,3,11,9,2,6,2,8,9,3,5,4,7,4,5,11,8,1,2,11,7,11,11,11,4,11,14,12,13,8,15,8,9,9,3,14,8,7,Level-headed
548,2002077833,Mario Corona,- - -,17/11/2005 (16 years old),Ama,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"6'1""",76 kg,16,D (C),0$,Young center back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,6,14,6,1,9,12,11,7,9,1,1,1,7,3,6,7,3,7,4,10,4,7,1,1,14,7,2,3,3,6,5,2,6,14,8,4,4,7,8,3,1,8,8,8,9,10,1,8,16,17,13,17,12,11,17,8,13,13,5,3,Unflappable
549,2002077832,Henry Idris,- - -,18/10/2006 (15 years old),Ctr,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'8""",59 kg,15,D (RL),0$,Young full back,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,11,9,6,1,13,10,12,7,10,1,3,2,10,4,9,11,2,7,11,9,8,4,13,3,8,8,1,3,8,9,6,4,6,6,12,10,6,8,8,1,3,13,14,12,7,6,3,7,13,12,4,11,12,6,12,8,9,7,8,9,Level-headed
550,2002077831,Aarón Rangel,- - -,24/10/2006 (15 years old),Ctr,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"5'7""",55 kg,15,D (RL),0$,Young full back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,10,10,9,1,15,8,11,4,9,4,3,2,11,6,10,9,3,7,13,9,7,9,8,3,7,9,1,4,9,10,4,3,6,5,13,9,7,10,11,3,3,7,10,11,10,13,2,7,13,15,13,8,12,6,6,6,2,10,5,8,Level-headed
551,2002077830,Hansel Pryce,- - -,12/11/2006 (15 years old),Ctr,Tormenta FC Academy,U.S.A. (Southeast Division),USA,"6'0""",67 kg,15,GK,0$,Young goalkeeper,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,7,7,4,3,4,12,1,6,2,6,14,12,6,1,6,8,8,1,11,1,3,2,13,6,8,1,13,4,3,1,1,1,1,15,8,1,1,9,5,6,10,9,7,9,15,6,6,11,16,15,14,15,11,1,13,8,11,6,9,1,Unflappable
552,2002077829,Kim Sang-Hee,- - -,2/7/2006 (15 years old),Ctr,Tormenta FC Academy,U.S.A. (Southeast Division),KOR,"5'10""",63 kg,15,GK,0$,Promising goalkeeper,-,Right Only,Weak,Very Strong,0,-,-,-,-,,-,-,11,12,5,7,3,14,1,5,7,10,11,15,9,8,6,8,6,1,14,1,1,1,1,13,9,1,16,8,3,4,1,7,2,12,12,3,4,13,3,9,9,11,13,10,8,7,9,6,17,15,16,8,11,7,8,6,13,9,9,7,Level-headed
553,2002077826,Bill Rivas,- - -,25/7/2004 (17 years old),Ctr,Louisiana Krewe,U.S.A. (Mid South Division),USA,"6'0""",74 kg,17,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,10,13,7,3,10,18,10,8,10,3,3,2,9,6,8,9,1,7,9,10,7,3,3,2,10,9,2,5,4,7,7,1,4,17,9,5,3,9,10,3,2,10,9,9,9,14,3,12,4,6,9,12,12,10,14,12,14,11,12,9,"Volatile, Media-friendly, Confrontational"
554,2002077803,Graham González,- - -,31/8/2004 (17 years old),Ama,Parish AC,U.S.A. (Mid South Division),USA,"5'8""",64 kg,17,"AM (C), ST (C)",0$,Young striker,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,9,7,9,1,14,9,3,4,9,3,2,1,6,4,12,8,2,8,11,5,5,7,7,2,7,4,2,7,12,9,9,2,8,10,10,7,5,7,6,2,2,5,5,10,12,11,3,11,9,9,11,3,9,12,1,9,12,13,9,17,Outspoken
555,2002077788,Pavlos Kominakis,- - -,16/12/2005 (16 years old),Ama,San Antonio Academy,U.S.A. (Frontier Division),USA,"5'11""",71 kg,16,ST (C),0$,Promising striker,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,7,15,5,3,15,10,3,13,10,2,2,3,7,6,6,9,2,8,14,4,4,7,11,3,10,13,1,6,14,11,15,3,8,19,10,5,4,7,9,3,3,8,13,12,10,10,3,9,11,16,12,10,17,11,9,9,17,12,7,5,Level-headed
556,2002077787,Gonzalo Wood,- - -,4/10/2006 (15 years old),Ama,San Antonio Academy,U.S.A. (Frontier Division),USA,"5'9""",60 kg,15,D (L),0$,Promising full back,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,13,10,9,1,13,15,14,5,8,2,1,1,7,5,12,9,1,7,7,8,6,4,6,2,9,8,3,6,6,8,5,3,5,12,10,9,4,8,8,1,2,14,7,9,8,10,3,13,13,15,16,10,15,3,15,11,14,11,6,3,Reserved
557,2002077786,Paul White,- - -,6/1/2005 (17 years old),Ama,San Antonio Academy,U.S.A. (Frontier Division),USA,"6'0""",70 kg,17,ST (C),0$,Young striker,-,Either,Strong,Very Strong,0,-,-,-,-,,-,-,13,12,3,2,12,7,3,4,10,3,1,1,3,7,5,12,1,10,8,1,1,5,5,1,7,4,2,8,13,9,13,1,5,14,9,3,5,4,8,2,3,14,4,5,11,9,1,12,17,14,10,18,13,11,15,6,11,14,8,3,Unflappable
558,2002077785,Siphosethu Mchunu,- - -,8/7/2005 (16 years old),Ama,San Antonio Academy,U.S.A. (Frontier Division),RSA,"5'11""",72 kg,16,ST (C),0$,Promising striker,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,11,11,8,2,15,10,4,12,9,2,1,1,7,7,8,8,3,9,14,7,7,9,8,3,13,14,2,5,13,14,9,2,9,10,9,10,5,8,7,3,3,13,12,10,7,17,2,8,11,10,9,11,10,11,13,11,8,11,10,10,Media-friendly
559,2002077784,Gordon New,- - -,2/2/2006 (16 years old),Ama,San Antonio Academy,U.S.A. (Frontier Division),USA,"5'11""",70 kg,16,"AM (C), ST (C)",0$,Young striker,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,11,12,8,2,16,11,6,8,9,3,2,3,5,5,8,12,1,8,5,7,3,9,1,2,9,9,2,8,14,11,9,1,12,2,11,6,6,8,9,2,3,9,8,8,12,13,3,9,14,17,12,12,17,11,13,9,2,5,9,1,Level-headed
560,2002077783,Scott Schultz,- - -,1/1/2005 (17 years old),Ama,San Antonio Academy,U.S.A. (Frontier Division),USA,"5'10""",74 kg,17,ST (C),0$,Young striker,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,7,13,7,3,10,10,5,11,10,1,2,1,6,8,8,7,1,7,14,5,4,8,5,2,10,15,3,11,15,13,9,2,8,13,10,4,8,7,8,1,2,14,11,11,7,7,3,8,10,13,14,13,15,13,13,10,3,13,8,9,Level-headed
561,2002077782,Matt McKendry,- - -,20/4/2006 (16 years old),Ama,San Antonio Academy,U.S.A. (Frontier Division),USA,"5'9""",64 kg,16,M/AM (C),0$,Young midfielder,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,10,12,7,3,13,14,11,8,11,1,3,2,8,3,7,12,4,7,14,8,4,9,1,1,11,5,4,10,11,8,10,2,8,8,5,4,5,7,8,3,2,14,15,9,13,7,3,10,9,9,12,6,11,9,4,10,9,10,14,17,Outspoken
562,2002077781,Paulo Sérgio,- - -,31/10/2005 (16 years old),Ama,San Antonio Academy,U.S.A. (Frontier Division),USA,"5'10""",63 kg,16,AM (RLC),0$,Promising winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,13,5,8,2,10,10,8,6,10,2,3,2,5,5,6,14,1,12,13,4,3,6,9,1,9,9,1,4,15,12,12,3,9,11,8,9,5,8,6,3,4,16,13,7,12,13,2,9,17,17,10,11,10,10,10,11,9,6,9,9,Media-friendly
563,2002077780,Kevin Iglesias,- - -,22/8/2006 (15 years old),Ctr,San Antonio Academy,U.S.A. (Frontier Division),USA,"5'8""",58 kg,15,AM (RLC),0$,Promising winger,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,13,13,8,1,11,8,6,6,8,2,2,3,4,6,11,13,1,9,13,5,5,8,9,1,8,7,3,3,10,10,12,2,14,12,8,7,4,7,7,3,2,4,12,8,12,10,3,12,11,11,11,8,5,7,8,8,17,12,15,6,Media-friendly
564,2002077779,Sung Dae-Hyun,- - -,13/2/2006 (16 years old),Ctr,San Antonio Academy,U.S.A. (Frontier Division),KOR,"5'5""",55 kg,16,M/AM (R),0$,Young winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,12,8,8,3,10,12,7,5,6,2,3,3,4,2,11,14,1,6,12,2,8,6,8,2,2,5,1,5,9,10,7,3,6,5,8,7,4,7,8,2,2,7,7,8,11,13,2,11,15,12,7,9,13,4,14,14,8,13,8,12,Level-headed
565,2002077778,Harry O'Hare,- - -,19/6/2006 (16 years old),Ctr,San Antonio Academy,U.S.A. (Frontier Division),USA,"6'0""",72 kg,16,M/AM (R),0$,Young winger,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,10,15,7,1,14,12,9,8,11,3,2,2,7,4,10,9,3,13,10,10,3,5,3,1,12,7,3,5,13,10,12,1,7,11,12,7,6,8,9,2,2,7,12,8,9,9,1,11,9,11,9,6,10,6,2,5,11,14,14,17,Outspoken
566,2002077777,Kevin Duffy,- - -,25/11/2005 (16 years old),Ama,San Antonio Academy,U.S.A. (Frontier Division),USA,"5'5""",55 kg,16,M/AM (L),0$,Young winger,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,13,11,6,3,7,8,3,3,6,3,3,1,4,2,8,10,3,6,12,2,2,3,3,1,5,2,3,2,12,7,7,2,10,4,6,8,3,3,5,3,2,11,13,5,8,12,1,7,5,9,2,11,11,4,13,6,6,8,15,14,"Volatile, Media-friendly"
567,2002077776,Alfie Shea,- - -,28/1/2005 (17 years old),Ctr,San Antonio Academy,U.S.A. (Frontier Division),USA,"6'2""",77 kg,17,M (L),0$,Young winger,-,Left,Very Strong,Weak,0,-,-,-,-,,-,-,13,11,9,2,12,16,5,9,8,2,3,2,5,5,8,10,2,11,13,8,3,8,4,3,12,7,1,10,7,9,8,2,12,10,7,13,9,6,7,3,2,12,13,10,11,9,1,9,5,7,11,11,14,6,11,9,13,12,10,11,"Volatile, Media-friendly, Confrontational"
568,2002077775,Matthew Maybury,- - -,29/11/2006 (15 years old),Ctr,San Antonio Academy,U.S.A. (Frontier Division),USA,"6'2""",73 kg,15,D (RC),0$,Promising center back,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,6,11,8,2,9,9,11,10,10,1,2,2,14,5,10,11,2,6,10,9,5,4,10,3,13,10,1,2,4,7,5,3,4,5,14,9,6,10,9,1,2,11,14,10,11,13,1,11,12,12,10,8,12,13,7,8,3,14,16,7,Level-headed
569,2002077774,Alan Martínez,- - -,12/8/2006 (15 years old),Ctr,San Antonio Academy,U.S.A. (Frontier Division),USA,"6'0""",66 kg,15,D (RLC),0$,Promising center back,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,12,14,6,2,14,12,11,7,9,3,1,2,9,3,9,9,1,9,16,10,4,6,1,2,11,7,3,8,5,9,6,2,7,3,12,10,6,11,9,2,1,11,15,8,11,11,2,9,13,13,12,13,14,12,12,6,5,15,6,11,Level-headed
570,2002077773,Mario Lozano,- - -,26/1/2005 (17 years old),Ctr,San Antonio Academy,U.S.A. (Frontier Division),USA,"6'0""",75 kg,17,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,8,13,4,2,6,10,8,9,8,2,3,2,10,4,9,10,2,4,10,10,6,7,9,1,10,7,2,2,4,6,3,3,5,11,9,5,3,7,7,1,1,10,12,8,7,14,3,11,13,10,13,9,3,2,6,13,15,13,8,7,Media-friendly
571,2002077772,Adrian Constantin,- - -,16/5/2005 (17 years old),Ctr,San Antonio Academy,U.S.A. (Frontier Division),ROU,"5'8""",64 kg,17,D (R),0$,Young full back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,15,9,5,2,10,11,5,6,10,4,1,3,5,4,8,10,2,8,11,5,4,2,4,3,8,4,1,2,12,10,5,3,11,15,9,10,5,6,7,1,2,19,14,5,11,10,1,10,14,7,14,16,16,5,15,7,3,8,9,5,Level-headed
572,2002077771,Daniel García,- - -,22/10/2005 (16 years old),Ctr,San Antonio Academy,U.S.A. (Frontier Division),USA,"5'8""",62 kg,16,D (L),0$,Young full back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,8,9,5,3,13,11,15,7,9,1,1,2,13,5,9,8,1,7,13,10,5,7,7,2,10,10,4,3,7,10,4,3,7,1,11,9,6,9,10,2,4,8,6,10,7,9,3,11,13,17,12,14,11,10,16,10,4,10,9,11,Level-headed
573,2002077770,Michael Flores,- - -,15/2/2006 (16 years old),Ctr,San Antonio Academy,U.S.A. (Frontier Division),USA,"5'9""",58 kg,16,GK,0$,Young goalkeeper,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,12,1,3,6,5,1,2,2,1,11,13,13,5,3,5,12,6,3,16,3,1,1,1,12,7,1,10,7,1,2,1,4,3,14,12,1,3,11,1,5,7,9,9,6,12,10,7,8,11,12,14,10,11,10,15,12,13,10,7,9,Level-headed
574,2002077769,Giovanni Outland,- - -,4/4/2006 (16 years old),Ctr,San Antonio Academy,U.S.A. (Frontier Division),USA,"5'11""",65 kg,16,GK,0$,Young goalkeeper,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,10,11,1,5,3,9,3,5,6,15,9,13,10,2,7,13,6,3,14,3,3,1,2,7,9,1,14,4,3,4,3,2,2,10,12,1,1,5,3,10,9,7,6,6,12,16,10,9,7,10,13,2,3,7,1,15,15,5,6,18,Outspoken
575,2002077768,Mike Begay,- - -,30/9/2006 (15 years old),Ama,RGV Academy,U.S.A. (Frontier Division),USA,"5'4""",55 kg,15,AM (L),0$,Promising winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,16,9,8,1,11,13,6,6,5,3,3,2,4,7,10,13,3,10,13,5,4,8,5,2,4,3,3,5,11,8,10,3,11,7,8,8,5,5,7,3,1,9,11,7,14,11,1,9,12,8,8,14,11,10,12,9,11,16,6,11,Media-friendly
576,2002077767,Daniel Murphy,- - -,4/5/2005 (17 years old),Ama,RGV Academy,U.S.A. (Frontier Division),USA,"5'8""",62 kg,17,ST (C),0$,Young striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,15,11,8,3,15,16,2,4,12,3,1,3,6,5,7,12,2,7,14,4,4,6,9,1,7,6,1,6,17,10,11,2,8,14,7,5,4,5,10,2,3,7,7,11,15,7,4,7,15,12,15,9,11,10,9,7,13,9,9,6,Level-headed
577,2002077766,Jorge Luis González,- - -,17/1/2006 (16 years old),Ama,RGV Academy,U.S.A. (Frontier Division),USA,"5'9""",62 kg,16,AM (R),0$,Young winger,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,10,8,7,2,14,9,8,6,8,3,2,3,7,6,9,11,3,9,10,3,6,8,1,1,6,9,1,8,12,14,10,2,11,9,10,8,6,7,9,3,1,8,14,11,12,14,3,11,5,5,11,17,11,3,13,10,10,8,10,16,"Outspoken, Volatile, Confrontational"
578,2002077765,Sean Lillard,- - -,11/9/2005 (16 years old),Ama,RGV Academy,U.S.A. (Frontier Division),USA,"5'11""",65 kg,16,"AM (C), ST (C)",0$,Young striker,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,13,9,7,2,13,7,2,6,13,2,2,4,5,5,7,11,2,8,13,5,2,5,1,4,7,5,3,10,13,15,12,1,12,14,8,5,6,7,8,3,1,11,8,6,12,15,1,10,15,14,14,13,15,7,11,13,6,13,7,5,Level-headed
579,2002077764,Alejandro Hernández,- - -,7/1/2006 (16 years old),Ama,RGV Academy,U.S.A. (Frontier Division),USA,"5'5""",55 kg,16,ST (C),0$,Promising striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,16,12,7,2,14,9,2,5,13,3,1,3,4,4,8,15,2,10,11,6,4,6,1,3,6,6,3,11,13,9,12,2,13,13,12,7,8,7,10,2,3,7,14,7,11,16,1,12,12,12,14,7,4,8,8,9,17,5,4,5,Media-friendly
580,2002077763,Manuel Morales,- - -,11/6/2006 (16 years old),Ama,RGV Academy,U.S.A. (Frontier Division),USA,"5'10""",66 kg,16,ST (C),0$,Young striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,13,7,2,3,14,2,3,5,8,1,3,4,2,3,4,9,1,5,10,1,2,7,8,3,9,6,2,6,14,13,10,2,6,12,7,2,4,3,9,2,2,3,11,7,7,6,2,7,12,14,14,13,5,12,13,9,17,11,16,11,Media-friendly
581,2002077762,Vitaliy Borodinchik,- - -,29/1/2005 (17 years old),Ama,RGV Academy,U.S.A. (Frontier Division),BLR,"5'7""",63 kg,17,AM (RC),0$,Young attacking midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,8,10,12,4,15,8,5,5,9,2,3,2,5,6,9,10,2,9,13,7,8,12,10,1,5,9,1,7,14,13,8,3,9,11,12,12,9,6,8,2,2,7,8,10,11,9,2,11,18,16,11,14,9,6,14,11,8,12,13,8,Media-friendly
582,2002077761,Boubacar Sylla,- - -,14/7/2006 (15 years old),Ama,RGV Academy,U.S.A. (Frontier Division),MLI,"5'7""",55 kg,15,AM (RLC),0$,Young winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,16,13,6,3,7,10,4,5,8,2,2,1,4,5,8,13,3,8,16,5,3,6,1,1,5,4,3,10,13,7,7,3,7,3,6,7,6,5,12,2,4,5,10,6,11,8,1,14,10,11,2,14,13,17,12,10,8,16,9,11,Media-friendly
583,2002077760,Nicky Wild,- - -,3/3/2006 (16 years old),Ctr,RGV Academy,U.S.A. (Frontier Division),USA,"5'7""",55 kg,16,"AM (C), ST (C)",0$,Young attacking midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,8,10,10,2,16,11,5,1,9,3,2,2,7,6,11,11,2,8,14,8,3,10,9,2,9,9,3,10,14,14,11,3,12,10,9,10,8,8,11,1,3,6,8,9,13,12,1,7,9,8,11,10,10,2,12,7,7,10,11,9,Media-friendly
584,2002077759,Alexander Stewart,- - -,28/11/2006 (15 years old),Ctr,RGV Academy,U.S.A. (Frontier Division),USA,"5'9""",60 kg,15,M/AM (R),0$,Young winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,13,10,3,3,13,11,7,6,11,3,3,1,6,10,8,10,2,8,11,8,3,6,12,1,10,7,2,9,11,8,9,1,11,10,10,9,8,12,9,1,2,13,5,4,8,11,3,20,9,11,9,4,12,7,3,12,10,7,14,15,Outspoken
585,2002077758,Keaton Feeney,- - -,14/9/2005 (16 years old),Ctr,RGV Academy,U.S.A. (Frontier Division),USA,"5'8""",58 kg,16,M (RL),0$,Young winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,11,10,7,4,15,15,4,3,7,2,1,2,3,5,8,12,2,8,12,4,5,6,3,3,8,4,1,10,8,10,5,3,10,16,7,9,13,6,8,1,1,8,8,7,12,12,2,13,17,15,14,10,12,5,14,14,11,8,10,3,Level-headed
586,2002077757,Lucas Bussey,- - -,23/8/2006 (15 years old),Ctr,RGV Academy,U.S.A. (Frontier Division),USA,"5'6""",55 kg,15,AM (L),0$,Promising winger,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,10,15,6,1,15,14,7,7,10,2,1,3,4,4,9,13,1,6,15,4,5,8,13,1,4,6,2,6,14,12,7,1,10,12,9,9,6,7,8,2,4,10,10,8,13,8,3,9,8,10,11,4,10,15,4,10,11,17,7,16,Outspoken
587,2002077756,Jesús Palma,- - -,4/2/2005 (17 years old),Ctr,RGV Academy,U.S.A. (Frontier Division),USA,"5'10""",68 kg,17,M (RL),0$,Young winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,15,12,6,3,14,8,5,5,7,3,1,3,4,2,6,13,2,8,7,6,8,5,6,1,8,4,2,1,5,10,4,1,3,13,7,8,3,6,5,3,2,5,5,7,14,6,2,12,16,13,16,8,10,8,7,13,13,16,9,10,Media-friendly
588,2002077755,Jeremy Hudson,- - -,11/7/2006 (15 years old),Ctr,RGV Academy,U.S.A. (Frontier Division),USA,"5'11""",69 kg,15,D (RC),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,15,7,1,9,11,11,9,10,4,2,1,11,4,5,4,3,6,6,9,4,4,7,3,13,10,2,2,5,8,8,1,6,13,8,9,5,7,8,2,1,18,6,12,6,19,3,11,18,14,12,13,16,6,14,9,4,7,9,7,Level-headed
589,2002077754,Mauricio Terwege,- - -,17/11/2006 (15 years old),Ctr,RGV Academy,U.S.A. (Frontier Division),USA,"6'0""",70 kg,15,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,10,6,3,11,9,9,9,9,2,2,2,9,6,8,7,3,5,4,9,6,6,8,2,14,8,3,5,4,10,5,1,4,12,8,6,4,8,8,1,3,7,16,9,7,16,1,10,16,14,15,10,17,4,13,8,12,9,9,5,Reserved
590,2002077753,Juan Pablo Hernández,- - -,11/1/2005 (17 years old),Ctr,RGV Academy,U.S.A. (Frontier Division),USA,"5'11""",69 kg,17,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,10,10,6,3,11,14,16,6,7,1,1,3,7,5,9,9,1,6,18,10,7,8,7,2,9,7,2,3,5,10,7,4,7,4,8,4,3,9,8,1,4,13,14,9,8,5,1,15,13,9,11,8,11,9,5,12,3,5,15,8,Media-friendly
